timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773669618881,24,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,17,0,12
1773669618881,19,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,17,0,12
1773669618902,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,3,0,0
1773669618907,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618907,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618908,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,2,0,0
1773669618911,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618911,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618912,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,2,0,0
1773669618914,4,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618914,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618915,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,3,0,0
1773669618918,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618918,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618919,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,2,0,0
1773669618922,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618922,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618923,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,2,0,0
1773669618925,4,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618925,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618926,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,3,0,0
1773669618929,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,1,1,http://127.0.0.1:8000/file/,1,0,0
1773669618929,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,1,1,http://127.0.0.1:8000/file,1,0,0
1773669618930,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,1,1,http://127.0.0.1:8000/file/,2,0,0
1773669618933,3,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618933,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618934,2,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618934,6,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618934,3,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,3,0,0
1773669618937,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618936,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618936,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618938,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618941,4,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618941,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618942,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618941,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618941,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618943,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618946,6,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618946,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618948,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618946,7,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618946,3,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,3,0,0
1773669618949,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618952,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618952,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618954,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618953,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618953,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618955,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618958,4,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618958,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618959,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618958,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618958,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618960,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618963,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
